timestamp,cond,trial,success,t_cue,t_zone,p,key
116,1,21,0,0,80,1000,0
116,1,22,0,0,80,1000,0
100,1,23,0,0,80,1000,0
50,1,24,1,0,80,1000,0
34,1,25,1,0,80,1000,0
67,1,26,1,0,80,1000,0
34,1,27,1,0,80,1000,0
0,1,28,1,0,80,1000,0
16,1,29,1,0,80,1000,0
0,1,30,0,0,80,1000,0
34,1,31,1,0,80,1000,0
117,1,32,0,0,80,1000,0
133,1,33,0,0,80,1000,0
116,1,34,0,0,80,1000,0
133,1,35,0,0,80,1000,0
84,8,1,1,100,150,1500,0
582,8,2,0,100,150,1500,0
317,8,3,0,100,150,1500,0
166,8,4,0,100,150,1500,0
34,8,5,1,100,150,1500,0
101,8,6,1,100,150,1500,0
134,8,7,1,100,150,1500,0
117,8,8,1,100,150,1500,0
49,8,9,1,100,150,1500,0
-16,8,10,0,100,150,1500,0
-50,8,11,0,100,150,1500,0
-50,8,12,0,100,150,1500,0
51,8,13,1,100,150,1500,0
134,8,14,1,100,150,1500,0
67,8,15,1,100,150,1500,0
33,8,16,1,100,150,1500,0
34,8,17,1,100,150,1500,0
67,8,18,1,100,150,1500,0
101,8,19,1,100,150,1500,0
117,8,20,1,100,150,1500,0
133,8,21,1,100,150,1500,0
134,8,22,1,100,150,1500,0
117,8,23,1,100,150,1500,0
99,8,24,1,100,150,1500,0
83,8,25,1,100,150,1500,0
84,8,26,1,100,150,1500,0
83,8,27,1,100,150,1500,0
50,8,28,1,100,150,1500,0
100,8,29,1,100,150,1500,0
117,8,30,1,100,150,1500,0
49,8,31,1,100,150,1500,0
100,8,32,1,100,150,1500,0
134,8,33,1,100,150,1500,0
149,8,34,1,100,150,1500,0
166,8,35,0,100,150,1500,0
67,6,1,1,100,150,1000,0
482,6,2,0,100,150,1000,0
817,6,3,0,100,150,1000,0
0,6,4,0,100,150,1000,0
167,6,5,0,100,150,1000,0
316,6,6,0,100,150,1000,0
233,6,7,0,100,150,1000,0
117,6,8,1,100,150,1000,0
183,6,9,0,100,150,1000,0
133,6,10,1,100,150,1000,0
100,6,11,1,100,150,1000,0
184,6,12,0,100,150,1000,0
116,6,13,1,100,150,1000,0
151,6,14,0,100,150,1000,0
100,6,15,1,100,150,1000,0
67,6,16,1,100,150,1000,0
116,6,17,1,100,150,1000,0
117,6,18,1,100,150,1000,0
100,6,19,1,100,150,1000,0
