timestamp,cond,trial,success,t_cue,t_zone,p,key
-4.0,7,30,1,100,80,1500,1
76.0,7,31,0,100,80,1500,1
76.0,7,32,0,100,80,1500,1
12.0,7,33,1,100,80,1500,1
44.0,7,34,1,100,80,1500,1
76.0,7,35,0,100,80,1500,1
944.0,1,1,0,0,80,1000,0
128.0,1,2,0,0,80,1000,0
144.0,1,3,0,0,80,1000,0
96.0,1,4,0,0,80,1000,0
80.0,1,5,0,0,80,1000,0
64.0,1,6,1,0,80,1000,0
0.0,1,7,1,0,80,1000,0
992.0,1,8,0,0,80,1000,0
160.0,1,9,0,0,80,1000,0
144.0,1,10,0,0,80,1000,0
16.0,1,11,1,0,80,1000,0
496.0,1,12,0,0,80,1000,0
176.0,1,13,0,0,80,1000,0
976.0,1,14,0,0,80,1000,0
32.0,1,15,1,0,80,1000,0
176.0,1,16,0,0,80,1000,0
64.0,1,17,1,0,80,1000,0
32.0,1,18,1,0,80,1000,0
80.0,1,19,0,0,80,1000,0
96.0,1,20,0,0,80,1000,0
976.0,1,21,0,0,80,1000,0
992.0,1,22,0,0,80,1000,0
32.0,1,23,1,0,80,1000,0
48.0,1,24,1,0,80,1000,0
48.0,1,25,1,0,80,1000,0
144.0,1,26,0,0,80,1000,0
16.0,1,27,1,0,80,1000,0
48.0,1,28,1,0,80,1000,0
112.0,1,29,0,0,80,1000,0
48.0,1,30,1,0,80,1000,0
64.0,1,31,1,0,80,1000,0
96.0,1,32,0,0,80,1000,0
48.0,1,33,1,0,80,1000,0
96.0,1,34,0,0,80,1000,0
944.0,1,35,0,0,80,1000,0
960.0,1,1,0,0,80,1000,1
976.0,1,2,0,0,80,1000,1
80.0,1,3,0,0,80,1000,1
32.0,1,4,1,0,80,1000,1
80.0,1,5,0,0,80,1000,1
32.0,1,6,1,0,80,1000,1
32.0,1,7,1,0,80,1000,1
48.0,1,8,1,0,80,1000,1
96.0,1,9,0,0,80,1000,1
32.0,1,10,1,0,80,1000,1
16.0,1,11,1,0,80,1000,1
16.0,1,12,1,0,80,1000,1
48.0,1,13,1,0,80,1000,1
64.0,1,14,1,0,80,1000,1
96.0,1,15,0,0,80,1000,1
160.0,1,16,0,0,80,1000,1
944.0,1,17,0,0,80,1000,1
80.0,1,18,0,0,80,1000,1
976.0,1,19,0,0,80,1000,1
128.0,1,20,0,0,80,1000,1
96.0,1,21,0,0,80,1000,1
992.0,1,22,0,0,80,1000,1
32.0,1,23,1,0,80,1000,1
976.0,1,24,0,0,80,1000,1
96.0,1,25,0,0,80,1000,1
80.0,1,26,0,0,80,1000,1
32.0,1,27,1,0,80,1000,1
48.0,1,28,1,0,80,1000,1
912.0,1,29,0,0,80,1000,1
960.0,1,30,0,0,80,1000,1
992.0,1,31,0,0,80,1000,1
16.0,1,32,1,0,80,1000,1
16.0,1,33,1,0,80,1000,1
144.0,1,34,0,0,80,1000,1
160.0,1,35,0,0,80,1000,1
144.0,2,1,1,0,150,1000,0
112.0,2,2,1,0,150,1000,0
112.0,2,3,1,0,150,1000,0
144.0,2,4,1,0,150,1000,0
176.0,2,5,0,0,150,1000,0
160.0,2,6,0,0,150,1000,0
96.0,2,7,1,0,150,1000,0
80.0,2,8,1,0,150,1000,0
96.0,2,9,1,0,150,1000,0
128.0,2,10,1,0,150,1000,0
64.0,2,11,1,0,150,1000,0
16.0,2,12,1,0,150,1000,0
48.0,2,13,1,0,150,1000,0
32.0,2,14,1,0,150,1000,0
0.0,2,15,1,0,150,1000,0
80.0,2,16,1,0,150,1000,0
32.0,2,17,1,0,150,1000,0
128.0,2,18,1,0,150,1000,0
128.0,2,19,1,0,150,1000,0
160.0,2,20,0,0,150,1000,0
208.0,2,21,0,0,150,1000,0
48.0,2,22,1,0,150,1000,0
64.0,2,23,1,0,150,1000,0
128.0,2,24,1,0,150,1000,0
160.0,2,25,0,0,150,1000,0
160.0,2,26,0,0,150,1000,0
976.0,2,27,0,0,150,1000,0
112.0,2,28,1,0,150,1000,0
16.0,2,29,1,0,150,1000,0
160.0,2,30,0,0,150,1000,0
112.0,2,31,1,0,150,1000,0
64.0,2,32,1,0,150,1000,0
144.0,2,33,1,0,150,1000,0
144.0,2,34,1,0,150,1000,0
112.0,2,35,1,0,150,1000,0
176.0,2,1,0,0,150,1000,1
80.0,2,2,1,0,150,1000,1
48.0,2,3,1,0,150,1000,1
64.0,2,4,1,0,150,1000,1
128.0,2,5,1,0,150,1000,1
112.0,2,6,1,0,150,1000,1
144.0,2,7,1,0,150,1000,1
160.0,2,8,0,0,150,1000,1
160.0,2,9,0,0,150,1000,1
16.0,2,10,1,0,150,1000,1
16.0,2,11,1,0,150,1000,1
32.0,2,12,1,0,150,1000,1
160.0,2,13,0,0,150,1000,1
160.0,2,14,0,0,150,1000,1
896.0,2,15,0,0,150,1000,1
0.0,2,16,1,0,150,1000,1
112.0,2,17,1,0,150,1000,1
64.0,2,18,1,0,150,1000,1
80.0,2,19,1,0,150,1000,1
32.0,2,20,1,0,150,1000,1
144.0,2,21,1,0,150,1000,1
16.0,2,22,1,0,150,1000,1
96.0,2,23,1,0,150,1000,1
64.0,2,24,1,0,150,1000,1
176.0,2,25,0,0,150,1000,1
144.0,2,26,1,0,150,1000,1
96.0,2,27,1,0,150,1000,1
48.0,2,28,1,0,150,1000,1
144.0,2,29,1,0,150,1000,1
144.0,2,30,1,0,150,1000,1
80.0,2,31,1,0,150,1000,1
80.0,2,32,1,0,150,1000,1
80.0,2,33,1,0,150,1000,1
112.0,2,34,1,0,150,1000,1
160.0,2,35,0,0,150,1000,1
60.0,6,1,1,100,150,1000,0
76.0,6,2,1,100,150,1000,0
76.0,6,3,1,100,150,1000,0
76.0,6,4,1,100,150,1000,0
92.0,6,5,1,100,150,1000,0
76.0,6,6,1,100,150,1000,0
92.0,6,7,1,100,150,1000,0
-4.0,6,8,1,100,150,1000,0
92.0,6,9,1,100,150,1000,0
76.0,6,10,1,100,150,1000,0
76.0,6,11,1,100,150,1000,0
92.0,6,12,1,100,150,1000,0
92.0,6,13,1,100,150,1000,0
92.0,6,14,1,100,150,1000,0
92.0,6,15,1,100,150,1000,0
92.0,6,16,1,100,150,1000,0
92.0,6,17,1,100,150,1000,0
76.0,6,18,1,100,150,1000,0
92.0,6,19,1,100,150,1000,0
60.0,6,20,1,100,150,1000,0
76.0,6,21,1,100,150,1000,0
108.0,6,22,1,100,150,1000,0
92.0,6,23,1,100,150,1000,0
60.0,6,24,1,100,150,1000,0
76.0,6,25,1,100,150,1000,0
108.0,6,26,1,100,150,1000,0
92.0,6,27,1,100,150,1000,0
92.0,6,28,1,100,150,1000,0
76.0,6,29,1,100,150,1000,0
108.0,6,30,1,100,150,1000,0
92.0,6,31,1,100,150,1000,0
92.0,6,32,1,100,150,1000,0
108.0,6,33,1,100,150,1000,0
92.0,6,34,1,100,150,1000,0
92.0,6,35,1,100,150,1000,0
156.0,6,1,0,100,150,1000,1
156.0,6,2,0,100,150,1000,1
92.0,6,3,1,100,150,1000,1
92.0,6,4,1,100,150,1000,1
92.0,6,5,1,100,150,1000,1
92.0,6,6,1,100,150,1000,1
